city,restaurant,latitude,longitude
Montreal,La Popessa,45.5055392,-73.5586762
Montreal,Deli Lesters,45.5018869,-73.56739189999999
Montreal,Nouilles Zhonghua,45.50328469999999,-73.5749407
Montreal,Hang Time Pizza,45.49753159999999,-73.5776961
Montreal,Yifang Taiwan Fruit Tea,45.4960317,-73.5807086
Montreal,Hazukido,45.4947621,-73.5785662
Montreal,Wrap Kings,45.5018869,-73.56739189999999
Montreal,Le Bay Ca Phe,45.5244958,-73.5957079
Montreal,Petit Poisson Dumpling,45.493637,-73.579681
Montreal,Abe & Mary's,45.4993124,-73.57753009999999
Montreal,Lloydie's,45.5018869,-73.56739189999999
Montreal,M4 Burrito (Rue St-Denis),45.51596019999999,-73.5649006
Montreal,3 Amigos,45.4944244,-73.5789844
Montreal,World Tea House 世界茶饮,45.5018869,-73.56739189999999
Montreal,Bistro CO UT,45.5218748,-73.5702607
Montreal,Pizza Saint Henri,45.4770135,-73.58699659999999
Montreal,Vua,45.500133,-73.5652994
Montreal,Restaurant Pho Maisonneuve,45.5174403,-73.5588836
Montreal,Restaurant Santa Lucia,45.5018869,-73.56739189999999
Montreal,Mclean's Pub,45.49954229999999,-73.57214069999999
Montreal,Pho Bac 97 (Boul St-Laurent),45.5078836,-73.5598317
Montreal,COQCOR,45.4948645,-73.5769071
Montreal,Bowhead Pub,45.5119283,-73.56184990000001
Montreal,Mysore La Express,45.54078,-73.591009
Montreal,Eko Sushi,45.480269,-73.579506
Montreal,Olivia's Authentic Chicken,45.4974183,-73.577794
Montreal,Takara,45.5011514,-73.5733774
Montreal,Coco Rico,45.5164701,-73.5777592
Montreal,La Cage,45.5018869,-73.56739189999999
Montreal,Nos Thes,45.4949423,-73.5782622
Montreal,L'appétissant Sichuan,45.5015733,-73.5590174
Montreal,Kinton Ramen Canada,45.5018869,-73.56739189999999
Montreal,Arahova Souvlaki Saint Viateur,45.5226294,-73.60164139999999
Montreal,YUMI,45.4963176,-73.578297
Montreal,Restaurant Shi Tang,45.4952405,-73.5793928
Montreal,Montreal Pool Room,45.5097066,-73.5631978
Montreal,Hansang,45.5197108,-73.5967383
Montreal,Sushi Inbox,45.5050541,-73.57159519999999
Montreal,Bhandari Cuisine Indienne,45.49483499999999,-73.58003269999999
Montreal,Bombay Mahal Express-,45.5247222,-73.6258333
Montreal,Restaurant Chez Nick,45.4878389,-73.59136389999999
Montreal,Mizan gourmet,45.493037,-73.5796579
Montreal,Yin Ji,45.4535806,-73.46714419999999
Montreal,Chef Lee,45.492845,-73.5807318
Montreal,Pizza Pizza,45.5018869,-73.56739189999999
Montreal,Restaurant Nippon (E 52nd St),45.5018869,-73.56739189999999
Montreal,Centrale Bergham,45.5018869,-73.56739189999999
Montreal,Chez Bong,45.5081382,-73.5596558
Montreal,Royal Snacks,45.5115361,-73.56654449999999
Montreal,New System Bar BQ,45.48065580000001,-73.5792397
Montreal,Mr. Gao China Restaurant 高老庄,45.4958868,-73.5788417
Montreal,Café casa de pastel,45.5168984,-73.58999709999999
Montreal,Burger Bar,45.4980542,-73.5770671
Montreal,Hot Star Large Fried Chicken 豪大大鸡排（Quebec),45.4925096,-73.58104329999999
Montreal,I am Pho Côte-Des-Neiges,45.4974339,-73.623109
Montreal,Bird Bar,45.4882301,-73.5684093
Montreal,Brotelli Pasta Bar,45.498543,-73.5709984
Montreal,Restaurant Chillax,45.5089613,-73.5729072
Montreal,Cafe et Crêpe,45.50578609999999,-73.5672
Montreal,Milton B,45.50918530000001,-73.5737272
Montreal,Ugo Pizzeria,45.4972505,-73.5531649
Montreal,Yifang Fruit Tea Chinatown Montreal,45.5069919,-73.560523
Montreal,Columbus Café,45.5018869,-73.56739189999999
Montreal,Asoo restaurant,45.4961841,-73.5818934
Montreal,Chez Maxim Oriental,45.4916849,-73.4756862
Montreal,Tipsy Cow,45.510434,-73.57502509999999
Montreal,Resto Séoul,45.5225654,-73.5793621
Montreal,Tampopo,45.526886,-73.579531
Montreal,Mr. Puffs,45.5018869,-73.56739189999999
Montreal,Kabiga Thé (St Catherine Ouest),45.4943248,-73.5803851
Montreal,McGill pizza enr,45.5070854,-73.5761783
Montreal,Da Giovanni,45.5115388,-73.5625699
Montreal,Fisshu,45.5018869,-73.56739189999999
Montreal,Station Berlin,45.4787887,-73.5690896
Montreal,Second Pizza,45.4888835,-73.5862622
Montreal,La Baguette Farcie (Rue Saint-Louis),45.5014378,-73.6815745
Montreal,RESTAURANT ARTIGIANI,45.524973,-73.5847663
Montreal,Restaurant Copoli 2,45.5204425,-73.586238
Montreal,Lakshana's Chettinad Indian Restaurant,45.4931771,-73.5795189
Montreal,Pizzeria Moretti,45.5026142,-73.5682612
Montreal,Maynard,45.5133727,-73.5728474
Montreal,Flat Belly Deli Halal,45.4977539,-73.5785052
Montreal,Saint-Houblon Quartier Latin,45.51474,-73.5622101
Montreal,Couche-Tard,45.5018869,-73.56739189999999
Montreal,Madina Supermaket,45.5116604,-73.56679319999999
Montreal,Cacao 70,45.6004362,-73.5625208
Montreal,Kafe Kafta,45.5212858,-73.597023
Montreal,Chatime Chinatown,45.5075206,-73.5602622
Montreal,La Belle Et La Boeuf,45.5018869,-73.56739189999999
Montreal,Good Reason,45.4847242,-73.5638519
Montreal,Boom J`S Cuisine,45.47881479999999,-73.5586947
Montreal,Roasters Rotisseries & Bar,45.5744228,-73.5479558
Montreal,L'Academie (Crescent),45.498243,-73.578266
Montreal,Escondite Vieux Montréal,45.505375,-73.553839
Montreal,Chez-Devi,45.49754,-73.577043
Montreal,Royal Biryani Restaurant,45.4959268,-73.57884349999999
Montreal,Spicy Noodle Express,45.510347,-73.5750614
Montreal,Rumi,45.5193123,-73.5983517
Montreal,Restaurant Shanghai Grill (Rue Sainte-Catherine O),45.4877674,-73.5861333
Montreal,Lotus Plus - Centre des mets chinois à Montréal,45.5273145,-73.58009299999999
Montreal,Jardin Du Cerf,45.508857,-73.562068
Montreal,Chez anna,45.517529,-73.58109809999999
Montreal,Tim Hortons,45.5018869,-73.56739189999999
Montreal,Casina,45.52092409999999,-73.5998767
Montreal,Sho-Dan,45.5017117,-73.5746173
Montreal,La Belle Corée,45.5226173,-73.5958145
Montreal,Venice,45.5032017,-73.55638569999999
Montreal,Make a Shake,45.5086519,-73.572295
Montreal,Pizza City,45.5263389,-73.5591361
Montreal,Pub Lord William,45.4869041,-73.56702969999999
