store_name,latitude,longitude
Coca - Cola Restaurant & Bar,41.9083427,12.498038
Toyama,41.909114,12.521726
Stella sushi,41.8621995,12.5688678
Stella sushi,41.8621995,12.5688678
FOOLISH SHOP,41.8967068,12.4822025
Lucky Sushi,41.9061126,12.4454153
Pizza al volo,41.9052656,12.392895
One Market,41.87010069999999,12.5313102
A Tutta Bufala,41.9365503,12.516718
Casa & Bottega,41.9005349,12.4696666
SPARTA,41.9282681,12.5147931
Poke Bar,41.8991093,12.5158582
Vero food and smiles - Eur,41.9056133,12.4957952
Caseificio Peroni,41.8153814,12.6002137
Grammo,41.832494,12.4624778
 Chiancheria Gourmet,41.8719042,12.4798009
Old Wild West,41.8967068,12.4822025
Americaland,41.8967068,12.4822025
Birretta Wine & Food,41.9124159,12.4563726
Love Poke Trast,41.9100961,12.4544596
A Tutta Bufala,41.9365503,12.516718
One Market,41.87010069999999,12.5313102
Tiramisù Cafè - Tuscolana,41.8625908,12.5556726
Kathmandu fast food,41.8939882,12.5027381
Stella sushi,41.8621995,12.5688678
Legami Sushi & More,41.911333,12.493917
Insalateria Roma,41.9083427,12.498038
LM Frutta,41.9029722,12.4872246
Gelateria Retro',41.8988676,12.4339363
Americaland,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Pasqualino il Re del Panino,41.9287307,12.4263007
One Market,41.87010069999999,12.5313102
Jollibee,41.9083959,12.4578032
Beerbubbles,41.88668029999999,12.5609273
I Love Burger & much more,41.8967068,12.4822025
Pasticceria @ Dolcevita,41.922318,12.3758021
Caffetteria Gio,41.8987746,12.4684514
ODStore,41.8967068,12.4822025
Odoroki,41.9111614,12.4997316
SPARTA,41.9282681,12.5147931
Cioccolatitaliani,41.9000476,12.501456
One Market,41.87010069999999,12.5313102
Americaland,41.8967068,12.4822025
Bottiglieria Pigneto,41.8879204,12.5298986
Holy pokè,41.8967068,12.4822025
Crudo Sushi & Pokè,41.91427110000001,12.3866498
Crudo Sushi & Pokè,41.91427110000001,12.3866498
Tyler Ponte Milvio,41.9387822,12.469127
Burrito’s Way,41.8967068,12.4822025
America Graffiti,41.8406865,12.5520659
Borgo 139,41.903891,12.4596849
FOOLISH SHOP,41.8967068,12.4822025
Pani & Ripieni™,41.8316541,12.4619294
Panino giusto,41.81661889999999,12.4583704
Americaland,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
Burrito’s Way,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
"La Cucina di Mamma @Pasta, Pizza & Drink",41.8732311,12.4662793
Genuino,41.8774492,12.5320903
Mi'Ndujo,41.8967068,12.4822025
Maledetti Toscani vinaio,41.9206214,12.45954
Ham Holy Burger,41.8967068,12.4822025
Ham Holy Burger,41.8967068,12.4822025
Pizza & Sfizi da Roby e Maurizio,41.8910812,12.5647556
Viva Nachos,41.8967068,12.4822025
Jollibee,41.9083959,12.4578032
La Bufalina,41.8696917,12.4221504
FOOLISH SHOP,41.8967068,12.4822025
Americaland,41.8967068,12.4822025
Pinsa & DeliciOus - Marconi,41.8611344,12.5013573
Americaland,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
Kalowry,41.8967068,12.4822025
Depuravita,41.8967068,12.4822025
Avocado Bar Roma,41.8938729,12.488272
Halal indian restaurant,41.8998768,12.50107
 Mattarello D'Oro,41.9522274,12.5433382
Tyler Ponte Milvio,41.9387822,12.469127
Maremma Gourmet,41.9219471,12.5131776
American Candy Corner,41.8776015,12.5184314
It's sweet time,41.9066811,12.4459598
Quintilium LV Cocktail Bar roma,41.8656639,12.5467095
Carnal by Roy Caceres,41.8967068,12.4822025
Cody Sushi • Pokè,41.8967068,12.4822025
American Candy Corner,41.8776015,12.5184314
La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988
Pasta e Vino Come Na Vorta,41.8906983,12.4692916
American Candy Corner,41.8776015,12.5184314
Elettroforno Frontoni Eurialo,41.8721469,12.5279547
100celle food,41.8870246,12.5614511
Le lasagne di Nonna Rosa,41.9083427,12.498038
One Market,41.87010069999999,12.5313102
Il Salumaio,41.9062207,12.4800201
Americaland,41.8967068,12.4822025
Minibar Roma,41.9083427,12.498038
FOOLISH SHOP,41.8967068,12.4822025
Sushi tonde,41.8656399,12.4795413
FOOLISH SHOP,41.8967068,12.4822025
Tyler Ponte Milvio,41.9387822,12.469127
American Candy Corner,41.8776015,12.5184314
Piccadilly,41.816723,12.4590339
California Poke House,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Da Giovanni ROM,41.9460735,12.4667486
Panino giusto,41.81661889999999,12.4583704
One Market,41.87010069999999,12.5313102
Caffetteria Gio,41.8987746,12.4684514
Pausa panino,41.8674396,12.4927454
ODStore,41.8967068,12.4822025
Gelateria Retro',41.8988676,12.4339363
Bombolone @ DolceVita,41.9006358,12.4801556
 Chiancheria Gourmet,41.8719042,12.4798009
FOOLISH SHOP,41.8967068,12.4822025
Cecchetti Il Salumiere,41.8691577,12.5280961
Farina Kitchen,41.8810099,12.4692667
FOOLISH SHOP,41.8967068,12.4822025
Macelleria Cucchi dal 1967,41.89829539999999,12.5630772
FOOLISH SHOP,41.8967068,12.4822025
Cugino,41.871137,12.5815217
Velato & Co,41.9092449,12.4591777
FOOLISH SHOP,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
Beerbubbles,41.88668029999999,12.5609273
LM Frutta,41.9029722,12.4872246
Wizard Pokè Hawaiian Restaurant,41.8817377,12.4601123
FOOLISH SHOP,41.8967068,12.4822025
America Graffiti,41.8406865,12.5520659
California cookhouse,41.9385473,12.5328887
FOOLISH SHOP,41.8967068,12.4822025
Cody Sushi • Pokè,41.8967068,12.4822025
L'Enoteca Gourmet,41.8728919,12.5276237
Pasticceria @ Dolcevita,41.922318,12.3758021
La casa de los Burritos,41.8787557,12.5448482
Panino giusto,41.81661889999999,12.4583704
American Candy Corner,41.8776015,12.5184314
L'officina della pizza,41.9060056,12.4691813
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
T-Burger Station,41.8767496,12.5198193
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
Lucky Sushi,41.9061126,12.4454153
Minibar Roma,41.9083427,12.498038
Kilo - Lega Lombarda,41.9088353,12.5225805
FOOLISH SHOP,41.8967068,12.4822025
FOOLISH SHOP,41.8967068,12.4822025
 Mattarello D'Oro,41.9522274,12.5433382
La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988
Ben & Jerry's - Gelato,41.8967068,12.4822025
Bottiglieria Pigneto,41.8879204,12.5298986
I Love Burger & much more,41.8967068,12.4822025
One Market,41.87010069999999,12.5313102
I Love Burger & much more,41.8967068,12.4822025
Hosteria del Mercato,41.90666600000001,12.479819
Sweet King,41.9256603,12.516733
FOOLISH SHOP,41.8967068,12.4822025
Anema e cozze,41.9718327,12.5402753
American Candy Corner,41.8776015,12.5184314
Poke Poke,41.87665,12.5079183
I Love Burger & much more,41.8967068,12.4822025
La tonneria,41.8908154,12.4685058
Farina Lab,41.9272722,12.5150297
Bombolone @ DolceVita,41.9006358,12.4801556
SaSa Sandwich and Salad,41.92939070000001,12.4860205
FOOLISH SHOP,41.8967068,12.4822025
Ham Holy Burger,41.8967068,12.4822025
Cecchetti Il Salumiere,41.8691577,12.5280961
The Second,41.8967068,12.4822025
Crudo Sushi & Pokè,41.91427110000001,12.3866498
FOOLISH SHOP,41.8967068,12.4822025
ODStore,41.8967068,12.4822025
ODStore,41.8967068,12.4822025
Dazio,41.9585201,12.5845577
 Mattarello D'Oro,41.9522274,12.5433382
Gustoso Vegano,41.9008195,12.4730601
Cornetto Special & American Market,41.8753478,12.5234638
Gelateria Retro',41.8988676,12.4339363
California cookhouse,41.9385473,12.5328887
California cookhouse,41.9385473,12.5328887
FOOLISH SHOP,41.8967068,12.4822025
Ami Pokè,41.8967068,12.4822025
Avocado Bar Roma,41.8938729,12.488272
One Market,41.87010069999999,12.5313102
California Burger House,41.8645126,12.6459978
FOOLISH SHOP,41.8967068,12.4822025
Il Ghiottone Naticchioni Paolo,41.765683,12.223995
Mercato Arabo,41.8780016,12.5681245
LM Frutta,41.9029722,12.4872246
Pizzikotto,41.9024687,12.438723
Crudo Sushi & Pokè,41.91427110000001,12.3866498
