date,temperature_celsius,precipitation_mm,snowfall_cm,weather_condition,is_raining,is_snowing
2021-07-15,23.2,0.0,0.0,clear,0,0
2021-07-16,23.3,4.4,0.0,rain,1,0
2021-07-17,21.9,2.5,0.0,rain,1,0
2021-07-18,24.2,0.6,0.0,rain,1,0
2021-07-19,25.8,0.0,0.0,clear,0,0
2021-07-20,25.8,0.0,0.0,clear,0,0
2021-07-21,27.3,0.0,0.0,clear,0,0
2021-07-22,28.2,0.0,0.0,clear,0,0
2021-07-23,27.8,0.0,0.0,clear,0,0
2021-07-24,26.9,0.0,0.0,clear,0,0
2021-07-25,27.7,0.0,0.0,clear,0,0
2021-07-26,29.5,0.0,0.0,clear,0,0
2021-07-27,28.5,0.0,0.0,clear,0,0
2021-07-28,28.3,0.0,0.0,clear,0,0
2021-07-29,28.6,0.0,0.0,clear,0,0
2021-07-30,28.1,0.0,0.0,clear,0,0
2021-07-31,28.0,0.0,0.0,clear,0,0
2021-08-01,28.8,0.0,0.0,clear,0,0
2021-08-02,25.4,0.0,0.0,clear,0,0
2021-08-03,24.5,0.1,0.0,rain,1,0
2021-08-04,26.5,0.0,0.0,clear,0,0
2021-08-05,25.5,0.5,0.0,rain,1,0
2021-08-06,25.6,0.0,0.0,clear,0,0
2021-08-07,27.3,0.0,0.0,clear,0,0
2021-08-08,28.0,0.0,0.0,clear,0,0
2021-08-09,27.4,0.0,0.0,clear,0,0
2021-08-10,28.3,0.0,0.0,clear,0,0
2021-08-11,29.5,0.0,0.0,clear,0,0
2021-08-12,30.3,0.0,0.0,clear,0,0
2021-08-13,30.2,0.0,0.0,clear,0,0
2021-08-14,30.7,0.0,0.0,clear,0,0
2021-08-15,30.1,0.0,0.0,clear,0,0
2021-08-16,27.9,0.0,0.0,clear,0,0
2021-08-17,27.6,0.0,0.0,clear,0,0
2021-08-18,26.9,2.8,0.0,rain,1,0
2021-08-19,26.3,0.8,0.0,rain,1,0
2021-08-20,26.3,0.6,0.0,rain,1,0
2021-08-21,26.1,0.0,0.0,clear,0,0
2021-08-22,26.8,0.0,0.0,clear,0,0
2021-08-23,25.8,0.2,0.0,rain,1,0
2021-08-24,23.6,7.9,0.0,rain,1,0
2021-08-25,23.9,0.9,0.0,rain,1,0
2021-08-26,24.6,2.8,0.0,rain,1,0
2021-08-27,24.2,0.4,0.0,rain,1,0
2021-08-28,23.1,1.7,0.0,rain,1,0
2021-08-29,21.9,0.0,0.0,clear,0,0
2021-08-30,21.6,0.0,0.0,clear,0,0
2021-08-31,22.0,0.1,0.0,rain,1,0
2021-09-01,23.5,0.0,0.0,clear,0,0
2021-09-02,23.4,0.0,0.0,clear,0,0
2021-09-03,22.5,0.1,0.0,rain,1,0
2021-09-04,24.1,6.8,0.0,rain,1,0
2021-09-05,24.4,0.1,0.0,rain,1,0
2021-09-06,23.8,0.0,0.0,clear,0,0
2021-09-07,23.3,0.1,0.0,rain,1,0
2021-09-08,23.1,0.0,0.0,clear,0,0
2021-09-09,22.8,0.2,0.0,rain,1,0
2021-09-10,22.6,0.0,0.0,clear,0,0
2021-09-11,23.9,0.1,0.0,rain,1,0
2021-09-12,22.9,0.1,0.0,rain,1,0
2021-09-13,23.5,0.0,0.0,clear,0,0
2021-09-14,23.2,0.0,0.0,clear,0,0
2021-09-15,22.9,0.0,0.0,clear,0,0
2021-09-16,24.8,0.2,0.0,rain,1,0
2021-09-17,24.5,3.8,0.0,rain,1,0
2021-09-18,23.9,0.5,0.0,rain,1,0
2021-09-19,22.9,2.1,0.0,rain,1,0
2021-09-20,21.9,0.1,0.0,rain,1,0
2021-09-21,22.2,1.2,0.0,rain,1,0
2021-09-22,21.3,0.0,0.0,clear,0,0
2021-09-23,20.3,0.0,0.0,clear,0,0
2021-09-24,21.1,0.0,0.0,clear,0,0
2021-09-25,21.5,0.0,0.0,clear,0,0
2021-09-26,22.5,0.1,0.0,rain,1,0
2021-09-27,23.2,5.2,0.0,rain,1,0
2021-09-28,22.8,0.5,0.0,rain,1,0
2021-09-29,22.5,0.5,0.0,rain,1,0
2021-09-30,21.7,0.0,0.0,clear,0,0
2021-10-01,21.5,0.0,0.0,clear,0,0
2021-10-02,19.7,1.3,0.0,rain,1,0
2021-10-03,20.6,1.5,0.0,rain,1,0
2021-10-04,22.3,2.2,0.0,rain,1,0
2021-10-05,19.7,6.4,0.0,rain,1,0
2021-10-06,18.1,10.9,0.0,rain,1,0
2021-10-07,15.4,2.0,0.0,rain,1,0
2021-10-08,16.6,0.0,0.0,clear,0,0
2021-10-09,17.4,0.5,0.0,rain,1,0
2021-10-10,15.0,0.0,0.0,clear,0,0
2021-10-11,12.8,1.0,0.0,rain,1,0
2021-10-12,13.8,0.0,0.0,clear,0,0
2021-10-13,14.7,0.0,0.0,clear,0,0
2021-10-14,13.8,0.0,0.0,clear,0,0
2021-10-15,13.7,0.0,0.0,clear,0,0
2021-10-16,13.4,0.0,0.0,clear,0,0
2021-10-17,14.7,0.0,0.0,clear,0,0
2021-10-18,15.0,0.0,0.0,clear,0,0
2021-10-19,14.6,0.0,0.0,clear,0,0
