country_code,city_code,store_name
IT,ROM,Crudo Sushi & Pokè
IT,ROM,Crudo Sushi & Pokè
IT,ROM,Tyler Ponte Milvio
IT,ROM,Burrito’s Way
IT,ROM,America Graffiti
IT,ROM,Borgo 139
IT,ROM,FOOLISH SHOP
IT,ROM,Pani & Ripieni™
IT,ROM,Panino giusto
IT,ROM,Americaland
IT,ROM,One Market
IT,ROM,Burrito’s Way
IT,ROM,FOOLISH SHOP
IT,ROM,"La Cucina di Mamma @Pasta, Pizza & Drink"
IT,ROM,Genuino
IT,ROM,Mi'Ndujo
IT,ROM,Maledetti Toscani vinaio
IT,ROM,Ham Holy Burger
IT,ROM,Ham Holy Burger
IT,ROM,Pizza & Sfizi da Roby e Maurizio
IT,ROM,Viva Nachos
IT,ROM,Jollibee
IT,ROM,La Bufalina
IT,ROM,FOOLISH SHOP
IT,ROM,Americaland
IT,ROM,Pinsa & DeliciOus - Marconi
IT,ROM,Americaland
IT,ROM,One Market
IT,ROM,Kalowry
IT,ROM,Depuravita
IT,ROM,Avocado Bar Roma
IT,ROM,Halal indian restaurant
IT,ROM, Mattarello D'Oro
IT,ROM,Tyler Ponte Milvio
IT,ROM,Maremma Gourmet
IT,ROM,American Candy Corner
IT,ROM,It's sweet time
IT,ROM,Quintilium LV Cocktail Bar roma
IT,ROM,Carnal by Roy Caceres
IT,ROM,Cody Sushi • Pokè
IT,ROM,American Candy Corner
IT,ROM,La Fraschetta di Castel Sant’Angelo
IT,ROM,Pasta e Vino Come Na Vorta
IT,ROM,American Candy Corner
IT,ROM,Elettroforno Frontoni Eurialo
IT,ROM,100celle food
IT,ROM,Le lasagne di Nonna Rosa
IT,ROM,One Market
IT,ROM,Il Salumaio
IT,ROM,Americaland
IT,ROM,Minibar Roma
IT,ROM,FOOLISH SHOP
IT,ROM,Sushi tonde
IT,ROM,FOOLISH SHOP
IT,ROM,Tyler Ponte Milvio
IT,ROM,American Candy Corner
IT,ROM,Piccadilly
IT,ROM,California Poke House
IT,ROM,FOOLISH SHOP
IT,ROM,FOOLISH SHOP
IT,ROM,Da Giovanni ROM
IT,ROM,Panino giusto
IT,ROM,One Market
IT,ROM,Caffetteria Gio
IT,ROM,Pausa panino
IT,ROM,ODStore
IT,ROM,Gelateria Retro'
IT,ROM,Bombolone @ DolceVita
IT,ROM, Chiancheria Gourmet
IT,ROM,FOOLISH SHOP
IT,ROM,Cecchetti Il Salumiere
IT,ROM,Farina Kitchen
IT,ROM,FOOLISH SHOP
IT,ROM,Macelleria Cucchi dal 1967
IT,ROM,FOOLISH SHOP
IT,ROM,Cugino
IT,ROM,Velato & Co
IT,ROM,FOOLISH SHOP
IT,ROM,FOOLISH SHOP
IT,ROM,Beerbubbles
IT,ROM,LM Frutta
IT,ROM,Wizard Pokè Hawaiian Restaurant
IT,ROM,FOOLISH SHOP
IT,ROM,America Graffiti
IT,ROM,California cookhouse
IT,ROM,FOOLISH SHOP
IT,ROM,Cody Sushi • Pokè
IT,ROM,L'Enoteca Gourmet
IT,ROM,Pasticceria @ Dolcevita
IT,ROM,La casa de los Burritos
IT,ROM,Panino giusto
IT,ROM,American Candy Corner
IT,ROM,L'officina della pizza
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,T-Burger Station
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,Lucky Sushi
IT,ROM,Minibar Roma
IT,ROM,Kilo - Lega Lombarda
IT,ROM,FOOLISH SHOP
IT,ROM,FOOLISH SHOP
IT,ROM, Mattarello D'Oro
IT,ROM,La Fraschetta di Castel Sant’Angelo
IT,ROM,Ben & Jerry's - Gelato
IT,ROM,Bottiglieria Pigneto
IT,ROM,I Love Burger & much more
IT,ROM,One Market
IT,ROM,I Love Burger & much more
IT,ROM,Hosteria del Mercato
IT,ROM,Sweet King
IT,ROM,FOOLISH SHOP
IT,ROM,Anema e cozze
IT,ROM,American Candy Corner
IT,ROM,Poke Poke
IT,ROM,I Love Burger & much more
IT,ROM,La tonneria
IT,ROM,Farina Lab
IT,ROM,Bombolone @ DolceVita
IT,ROM,SaSa Sandwich and Salad
IT,ROM,FOOLISH SHOP
IT,ROM,Ham Holy Burger
IT,ROM,Cecchetti Il Salumiere
IT,ROM,The Second
IT,ROM,Crudo Sushi & Pokè
IT,ROM,FOOLISH SHOP
IT,ROM,ODStore
IT,ROM,ODStore
IT,ROM,Dazio
IT,ROM, Mattarello D'Oro
IT,ROM,Gustoso Vegano
IT,ROM,Cornetto Special & American Market
IT,ROM,Gelateria Retro'
IT,ROM,California cookhouse
IT,ROM,California cookhouse
IT,ROM,FOOLISH SHOP
IT,ROM,Ami Pokè
IT,ROM,Avocado Bar Roma
IT,ROM,One Market
IT,ROM,California Burger House
IT,ROM,FOOLISH SHOP
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,Mercato Arabo
IT,ROM,LM Frutta
IT,ROM,Pizzikotto
IT,ROM,Crudo Sushi & Pokè
IT,ROM,La Fraschetta di Castel Sant’Angelo
IT,ROM,Cody Sushi • Pokè
IT,ROM,Ami Pokè
IT,ROM,Bowie by Cristina Bowerman
IT,ROM,Gelateria Retro'
IT,ROM,Anema e cozze
IT,ROM,Wok to Walk
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,Insalateria Roma
IT,ROM,Stella sushi
IT,ROM,Vero food and smiles - Eur
IT,ROM,Tiramisù Cafè - Tuscolana
IT,ROM,Cucina del Teatro
IT,ROM, La Pinsotteria - Panini di Pinsa
IT,ROM,I Love Burger & much more
IT,ROM,Lucky Sushi
IT,ROM,Gelateria Retro'
IT,ROM,Americaland
IT,ROM,Gelateria Retro'
IT,ROM,POK - Poll'ok
IT,ROM,Lucky Sushi
IT,ROM,Nonna che Pizza!
IT,ROM,Bottega Vittoria
IT,ROM,T-Bone Station
IT,ROM,'O Famo Strano
IT,ROM,L'Osteria Birra del Borgo
IT,ROM,Smokery by Roadhouse
IT,ROM,FOOLISH SHOP
IT,ROM,Kiami
IT,ROM,I Picciotti
IT,ROM,La Santeria di Mare
IT,ROM,Lucky Sushi
IT,ROM,One Market
IT,ROM,Gelateria Carte D'Or
IT,ROM,FOOLISH SHOP
IT,ROM,Beerbubbles
IT,ROM,America Graffiti
IT,ROM,Il Pozzo since 1973
IT,ROM,FOOLISH SHOP
IT,ROM,Vero Food Colonna
IT,ROM,Halal indian restaurant
IT,ROM,L'Enoteca Gourmet
IT,ROM,Pizzeria Ma.Gi
IT,ROM,FOOLISH SHOP
IT,ROM,Smokery by Roadhouse
IT,ROM,Farina Pick Your Kind
IT,ROM,California cookhouse
IT,ROM,Madeleine
IT,ROM,FOOLISH SHOP
IT,ROM,Sushi Shop
IT,ROM,Pangea
IT,ROM,FOOLISH SHOP
IT,ROM,Halal indian restaurant
IT,ROM,Pausa panino
IT,ROM,FOOLISH SHOP
IT,ROM,FOOLISH SHOP
IT,ROM,Bar Birreria Nabil
IT,ROM,Lucky Sushi
IT,ROM,A Tutta Bufala
IT,ROM,Gold Burger
IT,ROM,Saloon del panino - Portuense
IT,ROM,Viva Nachos
IT,ROM,A Putia
IT,ROM,Smokery by Roadhouse
IT,ROM,California cookhouse
IT,ROM,ODStore
IT,ROM,California Burger House
IT,ROM,Billy Tacos
IT,ROM,ODStore
IT,ROM,LM Frutta
IT,ROM,PataPinsa
IT,ROM,Coca - Cola Restaurant & Bar
IT,ROM,FOOLISH SHOP
IT,ROM,La casa de los Burritos
IT,ROM,I Love Burger & much more
IT,ROM,Stella sushi
IT,ROM, Chiancheria Gourmet
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,El Maiz
IT,ROM,One Market
IT,ROM,Voglia di pane
IT,ROM,Sfilatino Gourmet
IT,ROM,L’Enoteca di Maremma Gourmet
IT,ROM,Americaland
IT,ROM,Sfilatino Gourmet
IT,ROM,Color pokè & salad
IT,ROM,Beerbubbles
IT,ROM,L'Enoteca Gourmet
IT,ROM,C&C Food & Drink
IT,ROM,California cookhouse
IT,ROM,The Gipsy Bar
IT,ROM,La Santeria di Mare
IT,ROM,Sushi Shop
IT,ROM,Enoteca Vago In Vino
IT,ROM,Pasticceria @ Dolcevita
IT,ROM,Smokery by Roadhouse
IT,ROM,FOOLISH SHOP
IT,ROM,SPARTA
IT,ROM,One Market
IT,ROM,Elettroforno Frontoni Ostiense
IT,ROM,Pescato & Mangiato
IT,ROM,One Market
IT,ROM,American Candy Corner
IT,ROM,"Tigelleria Romana - Gnocco Fritto, Hamburger e Pinsa"
IT,ROM,Crudo Sushi & Pokè
IT,ROM,Eden Delicatese
IT,ROM,One Market
IT,ROM,Breakfast on Delivery
IT,ROM,Stella sushi
IT,ROM,Panino giusto
IT,ROM,Drupa Caffe
IT,ROM,One Market
IT,ROM,SPARTA
IT,ROM,Drupa Caffe
IT,ROM,Caffetteria Gio
IT,ROM,Gelateria Retro'
IT,ROM,Bombay ristorante indiano
IT,ROM,Legami Sushi & More
IT,ROM,Americaland
IT,ROM,Panino giusto
IT,ROM,Rugiati
IT,ROM,L’Enoteca di Maremma Gourmet
IT,ROM,Gelateria Retro'
IT,ROM,Nonna che Pizza!
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,One Market
IT,ROM,Americaland
IT,ROM,Gelateria Retro'
IT,ROM,100celle food
IT,ROM,Solero Smoothies
IT,ROM,Mi'Ndujo
IT,ROM,The Second
IT,ROM,Pizzeria Pepè
IT,ROM,A Tutta Bufala
IT,ROM,Enoteca Vago In Vino
IT,ROM,Pasticceria @ Dolcevita
IT,ROM,Pizza & Sfizi Kebab
IT,ROM,One Market
IT,ROM,Hard Rock Cafe
IT,ROM,One Market
IT,ROM,Madeleine
IT,ROM, La Miglior Colomba di Milano - DolceVita by Vergani
IT,ROM,One Market
IT,ROM,Maoli'- La Boutique Dei Sapori
IT,ROM,Gold Burger
IT,ROM,Ami Pokè
IT,ROM,La Bottega Del Pizzolaio
IT,ROM,Wrap Bubbles
IT,ROM,Bombolone @ DolceVita
IT,ROM,FOOLISH SHOP
IT,ROM,Wrap Bubbles
IT,ROM,Piccadilly
IT,ROM,Birreria Lapsutinna
IT,ROM,Americaland
IT,ROM,Sfilatino Gourmet
IT,ROM,Bottega Visconti
IT,ROM,LM Frutta
IT,ROM,FOOLISH SHOP
IT,ROM,Solero Smoothies
IT,ROM,Americaland
IT,ROM,ODStore
IT,ROM,Kathmandu fast food
IT,ROM,Hard Rock Cafe
IT,ROM,Ferro Pizza
IT,ROM,Drupa Caffe
IT,ROM,Bottiglieria Pigneto
IT,ROM,Smokery by Roadhouse
IT,ROM,One Market
IT,ROM,L'Enoteca Gourmet
IT,ROM,Maledetti Toscani vinaio
IT,ROM,Americaland
IT,ROM,Grammo
IT,ROM,Stella sushi
IT,ROM,Panino giusto
IT,ROM,American Candy Corner
IT,ROM,FOOLISH SHOP
IT,ROM,Amare Fish and Go
IT,ROM,FOOLISH SHOP
IT,ROM,Maremma Gourmet
IT,ROM,Americaland
IT,ROM,La casa de los Burritos
IT,ROM,California Burger House
IT,ROM,Himalaya's Kashmir
IT,ROM,La Cantina di Pescaria
IT,ROM,Lucky Sushi
IT,ROM,FOOLISH SHOP
IT,ROM,Fumo Bbq
IT,ROM,Coca - Cola Restaurant & Bar
IT,ROM,La Santeria di Mare
IT,ROM,Ham Holy Burger - Termini
IT,ROM,Stella sushi
IT,ROM,I Love Burger & much more
IT,ROM,FOOLISH SHOP
IT,ROM,Maremma Gourmet
IT,ROM,One Market
IT,ROM,Voglia di pane
IT,ROM,Quintilium LV Cocktail Bar roma
IT,ROM,Verdefresco
IT,ROM, Chiancheria Gourmet
IT,ROM,California cookhouse
IT,ROM,La Bufalina
IT,ROM,Hard Rock Cafe
IT,ROM,Pangea
IT,ROM,Jollibee
IT,ROM,Beverly Hills Burger
IT,ROM, Chiancheria Gourmet
IT,ROM,Pasqualino il Re del Panino
IT,ROM,Lucky Sushi
IT,ROM,Madeleine
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM,Le lasagne di Nonna Rosa
IT,ROM,Colazione @ Dolce Vita
IT,ROM,O Rei Do Marisco
IT,ROM,Pausa panino
IT,ROM,Pausa panino
IT,ROM,Fualdé L'Assaggio
IT,ROM,Avocado Bar Roma
IT,ROM,La Topaia
IT,ROM,A Tutta Bufala
IT,ROM,Lucky Sushi
IT,ROM,Da Camelia
IT,ROM,Farina Kitchen
IT,ROM,Caffetteria Gio
IT,ROM,La Fraschetta di Castel Sant’Angelo
IT,ROM,Pizzeria Bella Roma
IT,ROM,I dolci toscani
IT,ROM,Wrap Bubbles
IT,ROM,FOOLISH SHOP
IT,ROM,LM Frutta
IT,ROM,Panino giusto
IT,ROM,American Candy Corner
IT,ROM,One Market
IT,ROM,Così e la pizza bistrot
IT,ROM,Da Carmela - Pasta fatta a mano
IT,ROM,Da Giovanni Rana
IT,ROM,America Graffiti
IT,ROM,Maoli'- La Boutique Dei Sapori
IT,ROM,O Rei Do Marisco
IT,ROM,Saloon del panino - Portuense
IT,ROM,The Second
IT,ROM,I Love Burger & much more
IT,ROM,Le lasagne di Nonna Rosa
IT,ROM,Elettroforno Frontoni Ostiense
IT,ROM,Damplings
IT,ROM,Americaland
IT,ROM,Drupa Caffe
IT,ROM,FOOLISH SHOP
IT,ROM,Madeleine
IT,ROM,American Candy Corner
IT,ROM,Veggie Bistrot
IT,ROM,Lucky Sushi
IT,ROM,Farina Kitchen
IT,ROM,FOOLISH SHOP
IT,ROM,Pausa panino
IT,ROM,Drupa Caffe
IT,ROM,La Santeria di Mare
IT,ROM, Chiancheria Gourmet
IT,ROM,Jollibee
IT,ROM,FOOLISH SHOP
IT,ROM,I Love Burger & much more
IT,ROM,Fualdé L'Assaggio
IT,ROM,Ham Holy Burger - Termini
IT,ROM,Bottiglieria Pigneto
IT,ROM,One Market
IT,ROM,Drupa Caffe
IT,ROM,One Market
IT,ROM,Trapizzino
IT,ROM,Açai sisters
IT,ROM,Farina Lab
IT,ROM,Maremma Gourmet
IT,ROM,Pokè By Daruma
IT,ROM,FOOLISH SHOP
IT,ROM,Crudo Sushi & Pokè
IT,ROM,Palma Poké
IT,ROM,Bottiglieria Pigneto
IT,ROM,Old Wild West
IT,ROM, Chiancheria Gourmet
IT,ROM,Panizzo - I Panizzeri
IT,ROM,American Candy Corner
IT,ROM,Pausa panino
IT,ROM,Sweet King
IT,ROM, La Miglior Colomba di Milano - DolceVita by Vergani
IT,ROM,3 Quarti Prati
IT,ROM,The Yellow Bar
IT,ROM,100 Montaditos
IT,ROM,Birre dal Futuro
IT,ROM,Pokè By Daruma
IT,ROM,Da Giovanni
IT,ROM,L'Enoteca Gourmet
IT,ROM,One Market
IT,ROM,Burger Art
IT,ROM,Panizzo - I Panizzeri
IT,ROM,I Love Burger & much more
IT,ROM,Gelateria La Romana
IT,ROM,Obicà Mozzarella Bar - Parlamento
IT,ROM,FOOLISH SHOP
IT,ROM,America Graffiti
IT,ROM,Beerbubbles
IT,ROM,Americaland
IT,ROM,FOOLISH SHOP
IT,ROM,Bowie by Cristina Bowerman
IT,ROM,I Picciotti
IT,ROM,One Market
IT,ROM,One Market
IT,ROM,Americaland
IT,ROM,Americaland
IT,ROM,Drupa Caffe
IT,ROM,A Tutta Bufala
IT,ROM,The Yellow Bar
IT,ROM,Rusticini
IT,ROM,Farina Pick Your Kind
IT,ROM,Drupa Caffe
IT,ROM,Americaland
IT,ROM,Gelateria Retro'
IT,ROM,Mexican Poke
IT,ROM,Rusticini
IT,ROM,Halal indian restaurant
IT,ROM,Cugino
IT,ROM,Pasta e Vino Come Na Vorta
IT,ROM,Americaland
IT,ROM,Ciò fame
IT,ROM,Old Wild West
IT,ROM,Pescato & Mangiato
IT,ROM,POK - Poll'ok
IT,ROM,Maremma Gourmet
IT,ROM,Eataly - Pizza & Cucina
IT,ROM,Genuino
IT,ROM,One Market
IT,ROM,Coca - Cola Restaurant & Bar
IT,ROM,Coca - Cola Restaurant & Bar
IT,ROM,California Poke House
IT,ROM,Elettroforno Frontoni Eurialo
IT,ROM,Caffetteria Gio
IT,ROM, Chiancheria Gourmet
IT,ROM,Bottiglieria Pigneto
IT,ROM,Drupa Caffe
IT,ROM,Gelateria Retro'
IT,ROM,Smokery by Roadhouse
IT,ROM, Il pomodorillo
IT,ROM,California cookhouse
IT,ROM,Wrap Bubbles
IT,ROM,A Putia
IT,ROM,Drupa Caffe
IT,ROM,Americaland
IT,ROM,America Graffiti
IT,ROM,FOOLISH SHOP
IT,ROM,Ham Holy Burger
IT,ROM,Vero Food Colonna
IT,ROM,FOOLISH SHOP
IT,ROM,Stella sushi
IT,ROM,Piacere Matilda
IT,ROM,La Bottega Del Pizzolaio
IT,ROM,Maremma Gourmet
IT,ROM,Kathmandu fast food
IT,ROM,L'Enoteca Gourmet
IT,ROM,Bottega Vittoria
IT,ROM,L'Enoteca di Francesco
IT,ROM,Viva Nachos
IT,ROM,Americaland
IT,ROM,Imperio Gaucho Churrascaria
IT,ROM,Pasqualino il Re del Panino
IT,ROM, Chiancheria Gourmet
IT,ROM,LM Frutta
IT,ROM,Americaland
IT,ROM,Gazometro 38
IT,ROM,Grammo
IT,ROM,Ben & Jerry's Food House
IT,ROM,Colazione @ Dolce Vita
IT,ROM,Palma Poké
IT,ROM,FOOLISH SHOP
IT,ROM,LM Frutta
IT,ROM,Odoroki
IT,ROM,Extra Bowl - Pokè
IT,ROM,Lucky Sushi
IT,ROM,Enoteca Vago In Vino
IT,ROM,Coca - Cola Restaurant & Bar
IT,ROM,I Love Burger & much more
IT,ROM,One Market
IT,ROM,Eden Delicatese
IT,ROM,Ami Pokè
IT,ROM,Grammo
IT,ROM,Drupa Caffe
IT,ROM,LM Frutta
IT,ROM,İstanbul Kebab Torrenova 12
IT,ROM,Sushi tonde
IT,ROM,FOOLISH SHOP
IT,ROM,Smokery by Roadhouse
IT,ROM,Kalowry
IT,ROM,One Market
IT,ROM,American Candy Corner
IT,ROM,I Love Burger & much more
IT,ROM,Dolce Green
IT,ROM,One Market
IT,ROM,FOOLISH SHOP
IT,ROM, La Miglior Colomba di Milano - DolceVita by Vergani
IT,ROM,Odoroki
IT,ROM,I Love Poke
IT,ROM,Panificio Lintozzi
IT,ROM,Bottega Visconti
IT,ROM,FOOLISH SHOP
IT,ROM,Rusticini
IT,ROM,Il Ghiottone Naticchioni Paolo
IT,ROM, Il pomodorillo
IT,ROM,Odoroki
IT,ROM,Hard Rock Cafe
IT,ROM,Arriba - Mexican Grill
IT,ROM,O Rei Do Marisco
IT,ROM,ODStore
IT,ROM,Ami Pokè
IT,ROM,L'Enoteca Gourmet
IT,ROM,Coca - Cola Restaurant & Bar
IT,ROM,California Burger House
IT,ROM,Breakfast on Delivery
IT,ROM,Ben & Jerry's Food House
IT,ROM,Dolce Green
IT,ROM,La Fraschetta di Castel Sant’Angelo
IT,ROM,One Market
IT,ROM,Breakfast on Delivery
IT,ROM,Damplings
IT,ROM,Ham Holy Burger
