country_code,city_code,store_name,latitude,longitude
IT,ROM,Maledetti Toscani vinaio,41.9206214,12.45954
IT,ROM,Pizza & Sfizi da Roby e Maurizio,41.8910812,12.5647556
IT,ROM,La Bufalina,41.8696917,12.4221504
IT,ROM,Pinsa & DeliciOus - Marconi,41.8611344,12.5013573
IT,ROM,Avocado Bar Roma,41.8938729,12.488272
IT,ROM,Maremma Gourmet,41.9219471,12.5131776
IT,ROM,It's sweet time,41.9066811,12.4459598
IT,ROM,Carnal by Roy Caceres,41.8967068,12.4822025
IT,ROM,La Fraschetta di Castel Sant’Angelo,41.90012540000001,12.4667988
IT,ROM,Pasta e Vino Come Na Vorta,41.8906983,12.4692916
IT,ROM,Elettroforno Frontoni Eurialo,41.8721469,12.5279547
IT,ROM,100celle food,41.8870246,12.5614511
IT,ROM,Le lasagne di Nonna Rosa,41.9083427,12.498038
IT,ROM,Il Salumaio,41.9062207,12.4800201
IT,ROM,Minibar Roma,41.9083427,12.498038
IT,ROM,Sushi tonde,41.8656399,12.4795413
IT,ROM,Piccadilly,41.816723,12.4590339
IT,ROM,Da Giovanni ROM,41.9460735,12.4667486
IT,ROM,Cecchetti Il Salumiere,41.8691577,12.5280961
IT,ROM,Farina Kitchen,41.8810099,12.4692667
IT,ROM,Macelleria Cucchi dal 1967,41.89829539999999,12.5630772
IT,ROM,Cugino,41.871137,12.5815217
IT,ROM,Velato & Co,41.9092449,12.4591777
IT,ROM,Wizard Pokè Hawaiian Restaurant,41.8817377,12.4601123
IT,ROM,California cookhouse,41.9385473,12.5328887
IT,ROM,La casa de los Burritos,41.8787557,12.5448482
IT,ROM,L'officina della pizza,41.9060056,12.4691813
IT,ROM,T-Burger Station,41.8767496,12.5198193
IT,ROM,Kilo - Lega Lombarda,41.9088353,12.5225805
IT,ROM,Ben & Jerry's - Gelato,41.8967068,12.4822025
IT,ROM,Hosteria del Mercato,41.90666600000001,12.479819
IT,ROM,Sweet King,41.9256603,12.516733
IT,ROM,Anema e cozze,41.9718327,12.5402753
IT,ROM,Poke Poke,41.87665,12.5079183
IT,ROM,La tonneria,41.8908154,12.4685058
IT,ROM,Farina Lab,41.9272722,12.5150297
IT,ROM,SaSa Sandwich and Salad,41.92939070000001,12.4860205
IT,ROM,Dazio,41.9585201,12.5845577
IT,ROM,Gustoso Vegano,41.9008195,12.4730601
IT,ROM,Cornetto Special & American Market,41.8753478,12.5234638
IT,ROM,California Burger House,41.8645126,12.6459978
IT,ROM,Pizzikotto,41.9024687,12.438723
IT,ROM,Bowie by Cristina Bowerman,41.8712226,12.4865627
IT,ROM,Wok to Walk,41.8957487,12.472348
IT,ROM,Cucina del Teatro,41.900435,12.469465
IT,ROM, La Pinsotteria - Panini di Pinsa,41.9674509,12.517352
IT,ROM,POK - Poll'ok,41.9110599,12.5000541
IT,ROM,Nonna che Pizza!,41.9079984,12.454081
IT,ROM,T-Bone Station,41.8967068,12.4822025
IT,ROM,'O Famo Strano,41.8932059,12.5157985
IT,ROM,Smokery by Roadhouse,41.8967068,12.4822025
IT,ROM,Kiami,41.8910269,12.5637106
IT,ROM,La Santeria di Mare,41.88815839999999,12.5301674
IT,ROM,Gelateria Carte D'Or,41.8967068,12.4822025
IT,ROM,Vero Food Colonna,41.9094634,12.467149
IT,ROM,Pizzeria Ma.Gi,41.8939017,12.4390253
IT,ROM,Madeleine,41.91881559999999,12.4611435
IT,ROM,Bar Birreria Nabil,41.8889898,12.5260432
IT,ROM,Gold Burger,41.8834498,12.5377372
IT,ROM,A Putia,41.9317097,12.5115604
IT,ROM,Billy Tacos,41.9023838,12.4384905
IT,ROM,PataPinsa,41.9085714,12.4763454
IT,ROM,El Maiz,41.9089176,12.4542201
IT,ROM,Sfilatino Gourmet,41.9132569,12.4513242
IT,ROM,Color pokè & salad,41.8967068,12.4822025
IT,ROM,C&C Food & Drink,42.0146737,12.3766989
IT,ROM,Elettroforno Frontoni Ostiense,41.8530942,12.4769029
IT,ROM,Pescato & Mangiato,41.853148,12.5029835
IT,ROM,Eden Delicatese,41.8967068,12.4822025
IT,ROM,Breakfast on Delivery,41.8967068,12.4822025
IT,ROM,Bombay ristorante indiano,41.8814212,12.5123576
IT,ROM,Solero Smoothies,41.939943,12.5128152
IT,ROM,Pizzeria Pepè,41.8636139,12.5600881
IT,ROM,Pizza & Sfizi Kebab,41.9483215,12.532778
IT,ROM,Hard Rock Cafe,41.90634,12.4897514
IT,ROM, La Miglior Colomba di Milano - DolceVita by Vergani,41.8967068,12.4822025
IT,ROM,Maoli'- La Boutique Dei Sapori,41.8967068,12.4822025
IT,ROM,La Bottega Del Pizzolaio,41.9493191,12.6019361
IT,ROM,Birreria Lapsutinna,41.8967068,12.4822025
IT,ROM,Bottega Visconti,41.9073467,12.4691735
IT,ROM,Ferro Pizza,41.9090195,12.5220042
IT,ROM,Amare Fish and Go,41.8967068,12.4822025
IT,ROM,Himalaya's Kashmir,41.8944701,12.5073302
IT,ROM,Fumo Bbq,41.90630609999999,12.5169777
IT,ROM,Ham Holy Burger - Termini,41.9012873,12.5015756
IT,ROM,Verdefresco,41.9069454,12.4951903
IT,ROM,Beverly Hills Burger,41.9045889,12.5044974
IT,ROM,Colazione @ Dolce Vita,41.8997079,12.473359
IT,ROM,O Rei Do Marisco,41.9112453,12.5240477
IT,ROM,Fualdé L'Assaggio,41.9458083,12.5245708
IT,ROM,La Topaia,41.8967068,12.4822025
IT,ROM,Da Camelia,41.8967068,12.4822025
IT,ROM,I dolci toscani,41.8757157,12.4534825
IT,ROM,Così e la pizza bistrot,41.8448041,12.456531
IT,ROM,Da Carmela - Pasta fatta a mano,41.8967068,12.4822025
IT,ROM,Da Giovanni Rana,41.8511004,12.5995461
IT,ROM,Damplings,41.9350483,12.5362692
IT,ROM,Veggie Bistrot,41.896365,12.4565757
IT,ROM,Trapizzino,41.8967068,12.4822025
IT,ROM,Açai sisters,41.907045,12.4959616
IT,ROM,Pokè By Daruma,41.8967068,12.4822025
IT,ROM,Palma Poké,41.8525799,12.4799057
IT,ROM,Panizzo - I Panizzeri,41.9678687,12.5368125
IT,ROM,3 Quarti Prati,41.908431,12.464738
IT,ROM,100 Montaditos,41.9082663,12.5383794
IT,ROM,Birre dal Futuro,41.8967068,12.4822025
IT,ROM,Da Giovanni,41.9460735,12.4667486
