city,restaurant,latitude,longitude,neighborhood
Montreal,Shawarma Habibi,45.4964884,-73.5717725,Ville-Marie
Montreal,Sansalizza,45.51047,-73.5761452,Le Plateau-Mont-Royal
Montreal,PhoBo,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Star Of India Restaurant,45.4935694,-73.5792988,Ville-Marie
Montreal,La Maison Du Bulgogi,45.4911432,-73.5826778,Ville-Marie
Montreal,Provision Cote des Neiges,45.4966292,-73.58230619999999,Ville-Marie
Montreal,DonDonYa,45.49718319999999,-73.5772503,Ville-Marie
Montreal,Okane Sushi Bar,45.4941346,-73.5640846,Ville-Marie
Montreal,Ho Lee Chix,45.5096042,-73.5639072,Quartier des Spectacles
Montreal,Singh's Indian Cuisine (Boul Saint Laurent),45.5146621,-73.5745167,Le Plateau-Mont-Royal
Montreal,CoCo Fresh Tea & Juice,45.4967593,-73.5759404,Ville-Marie
Montreal,Sophie Sucrée,45.5151335,-73.5757203,Le Plateau-Mont-Royal
Montreal,Ichiraku Kawaki,45.49480699999999,-73.55776759999999,Le Sud-Ouest
Montreal,3 Brasseurs,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,QingHua Dumpling (Maisonneuve),45.4949188,-73.5803364,Ville-Marie
Montreal,La Popessa,45.5055392,-73.5586762,Vieux-Montréal
Montreal,Deli Lesters,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Nouilles Zhonghua,45.50328469999999,-73.5749407,Ville-Marie
Montreal,Hang Time Pizza,45.49753159999999,-73.5776961,Ville-Marie
Montreal,Yifang Taiwan Fruit Tea,45.4960317,-73.5807086,Ville-Marie
Montreal,Hazukido,45.4947621,-73.5785662,Ville-Marie
Montreal,Wrap Kings,45.5018869,-73.56739189999999,Quartier des Spectacles
Montreal,Le Bay Ca Phe,45.5244958,-73.5957079,Mile-End
Montreal,Petit Poisson Dumpling,45.493637,-73.579681,Ville-Marie
Montreal,Abe & Mary's,45.4993124,-73.57753009999999,Ville-Marie
Montreal,Lloydie's,45.5018869,-73.56739189999999,Quartier des Spectacles
